"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DDIT41",3.11341373683026e-147,0.721258158309793,0.457,0.108,7.16552171531484e-143,"9","DDIT4"
"HLA-C2",4.08249977458864e-147,0.771377968535615,1,0.83,9.39587323121575e-143,"9","HLA-C"
"STOM",2.86217924380457e-146,0.606147106835853,0.381,0.079,6.58730552961622e-142,"9","STOM"
"SLC9A3R1",1.25826224089893e-144,0.60291601392587,0.512,0.128,2.89589054742889e-140,"9","SLC9A3R1"
"STAT4",2.68170761730198e-143,0.509707571266233,0.282,0.048,6.17195008122051e-139,"9","STAT4"
"PLAC82",2.71891767064811e-143,0.747352015876553,0.644,0.189,6.25758901899662e-139,"9","PLAC8"
"PAXX2",5.01246501574102e-143,0.63693963589871,0.594,0.163,1.1536188233728e-138,"9","PAXX"
"SEC11C",1.40351216000061e-141,0.607892814081997,0.306,0.056,3.23018323624141e-137,"9","SEC11C"
"MVD",1.51020160869377e-141,0.6173909722165,0.259,0.042,3.4757290024087e-137,"9","MVD"
"POLR2G",3.53994805145421e-140,0.586287572837362,0.379,0.081,8.14719044042187e-136,"9","POLR2G"
"UBE2F",8.35756133744258e-139,0.58919441546702,0.346,0.07,1.92349274181241e-134,"9","UBE2F"
"BIN1",9.77604357711167e-139,0.566389398666959,0.331,0.065,2.24995642927225e-134,"9","BIN1"
"CYCS",4.28981246480376e-138,0.608570427732525,0.521,0.136,9.87300338774584e-134,"9","CYCS"
"TLE53",5.28747047336762e-138,0.81319108257368,0.884,0.333,1.21691132944556e-133,"9","TLE5"
"BHLHE40",5.88333199273682e-137,0.730313848903463,0.372,0.082,1.35404885812838e-132,"9","BHLHE40"
"PSMB10",9.12112228138748e-137,0.672864794836214,0.631,0.188,2.09922629306133e-132,"9","PSMB10"
"CD632",3.16504141403341e-136,0.777143983262989,0.728,0.244,7.28434281439788e-132,"9","CD63"
"ID22",3.69792833101391e-136,0.692618527448795,0.715,0.228,8.51078205382852e-132,"9","ID2"
"GTF3A",1.39673948201332e-135,0.638962905660354,0.525,0.14,3.21459591785366e-131,"9","GTF3A"
"CDK2AP2",2.32384921294779e-135,0.631916041459681,0.394,0.089,5.34833896359933e-131,"9","CDK2AP2"
"CALM12",6.5949480189253e-135,0.909382660760196,0.953,0.439,1.51782728655566e-130,"9","CALM1"
"NDUFB7",1.02956318822668e-134,0.642262199961199,0.607,0.177,2.36953967770371e-130,"9","NDUFB7"
"IL323",1.20142816555779e-134,1.12272646854191,0.759,0.296,2.76508692303125e-130,"9","IL32"
"IDH2",1.9679207612552e-134,0.596359138260441,0.299,0.056,4.52916963202885e-130,"9","IDH2"
"SUN22",2.13740799819032e-134,0.660793962181036,0.625,0.184,4.91924450783502e-130,"9","SUN2"
"PPP1CA1",1.15299688840488e-133,0.759531844142201,0.704,0.233,2.65362233866383e-129,"9","PPP1CA"
"ARHGEF3",1.29169305956466e-133,0.639613824706127,0.309,0.06,2.97283157658806e-129,"9","ARHGEF3"
"LIME12",6.8218769891284e-131,0.681599545277306,0.544,0.15,1.5700549890479e-126,"9","LIME1"
"BTN3A2",1.47860598921371e-130,0.613100044242917,0.428,0.103,3.40301168417536e-126,"9","BTN3A2"
"CYFIP2",1.90706084440999e-130,0.514221264068886,0.425,0.101,4.3891005334096e-126,"9","CYFIP2"
"OPTN",1.93961479075603e-129,0.557414156795565,0.294,0.056,4.464023440925e-125,"9","OPTN"
"DHRS7",9.25812598355451e-129,0.583676199229032,0.525,0.144,2.13075769511507e-124,"9","DHRS7"
"RAP1B2",1.03856248010519e-128,0.760855013648954,0.897,0.364,2.39025154796208e-124,"9","RAP1B"
"TBCC",1.24664013990054e-128,0.48043916462318,0.276,0.051,2.8691422819811e-124,"9","TBCC"
"LYAR1",3.59965406002988e-128,0.571803357372072,0.379,0.085,8.28460381915877e-124,"9","LYAR"
"EFHD22",5.80366713338235e-128,0.765479546711171,0.921,0.377,1.33571399074795e-123,"9","EFHD2"
"MED10",8.28486640339493e-128,0.561244892646243,0.403,0.095,1.90676200274134e-123,"9","MED10"
"ITGAL2",1.45157413011764e-127,0.653750737608496,0.581,0.17,3.34079786046575e-123,"9","ITGAL"
"PSME21",6.41386471722745e-127,0.65464407335988,0.659,0.208,1.4761509646699e-122,"9","PSME2"
"RAB29",1.95469134863407e-126,0.539333252472927,0.321,0.066,4.49872213888131e-122,"9","RAB29"
"ZBP1",3.55507815879528e-126,0.528930905574352,0.262,0.047,8.18201238246734e-122,"9","ZBP1"
"LAT",4.1610923930587e-125,0.459801436972518,0.415,0.098,9.57675414262461e-121,"9","LAT"
"PCED1B-AS13",1.19408824551216e-124,0.54592966074464,0.644,0.193,2.74819409704623e-120,"9","PCED1B-AS1"
"XBP1",1.24660399140846e-124,0.670818456481054,0.459,0.121,2.86905908622658e-120,"9","XBP1"
"PPIB",3.48056341772885e-124,0.633727584443948,0.597,0.18,8.01051670590294e-120,"9","PPIB"
"YWHAQ",5.99943310046912e-124,0.5783195998616,0.546,0.156,1.38076952807297e-119,"9","YWHAQ"
"RAC22",2.81395614210222e-123,0.756124527091462,0.854,0.331,6.47632006104827e-119,"9","RAC2"
"NDUFB22",3.64153925214329e-123,0.606812302468362,0.622,0.193,8.38100258880777e-119,"9","NDUFB2"
"FLNA2",5.47998274272485e-123,0.885565251678453,0.818,0.334,1.26121802823812e-118,"9","FLNA"
"CMC11",6.61125024721512e-123,0.959830734841144,0.393,0.097,1.52157924439656e-118,"9","CMC1"
"IL2RG3",1.42028642917049e-122,0.6267975008006,0.722,0.238,3.26878921673589e-118,"9","IL2RG"
"KRT10",5.34309292402331e-122,0.588546970948049,0.475,0.127,1.22971283646396e-117,"9","KRT10"
"TMED9",1.65212096077516e-121,0.530209860680532,0.34,0.075,3.80235639122404e-117,"9","TMED9"
"DGKZ",6.52616650327977e-121,0.514482036306595,0.487,0.131,1.50199722072984e-116,"9","DGKZ"
"SCP2",1.78105024730403e-120,0.661401611834977,0.525,0.153,4.09908714417021e-116,"9","SCP2"
"ABI3",2.43627920994629e-118,0.531171465141306,0.3,0.062,5.60709660169139e-114,"9","ABI3"
"TECR",4.42997406785109e-118,0.692055622836897,0.419,0.108,1.01955853171593e-113,"9","TECR"
"PIP4K2A",7.96943837985771e-118,0.558330291308387,0.509,0.143,1.83416624312425e-113,"9","PIP4K2A"
"HLA-A3",8.52524518514198e-118,0.721750777033394,1,0.814,1.96208517936043e-113,"9","HLA-A"
"LPCAT1",9.17984767016135e-118,0.491222815479548,0.341,0.076,2.11274194128763e-113,"9","LPCAT1"
"SPN",1.74390061247499e-117,0.60985246977372,0.466,0.127,4.0135872596112e-113,"9","SPN"
"STK17A",3.53359575588328e-117,0.476107508474387,0.397,0.096,8.13257063216537e-113,"9","STK17A"
"HSP90B1",4.63141687543564e-117,0.59208689343146,0.581,0.18,1.06592059388151e-112,"9","HSP90B1"
"SEPTIN73",5.57247545024449e-117,0.68907789998781,0.793,0.295,1.28250522487377e-112,"9","SEPTIN7"
"ANXA4",7.7196745659603e-117,0.534970221191463,0.275,0.054,1.77668310135576e-112,"9","ANXA4"
"PRKACB",7.54257733147129e-116,0.500632412025781,0.293,0.06,1.73592417283812e-111,"9","PRKACB"
"PITPNC1",5.17867646028791e-114,0.482679028048906,0.274,0.054,1.19187238733526e-109,"9","PITPNC1"
"UBB2",5.49060599451786e-113,0.724543495611911,0.875,0.365,1.26366296963829e-108,"9","UBB"
"TRAF3IP31",7.75201993116283e-113,0.565233067796383,0.537,0.161,1.78412738715713e-108,"9","TRAF3IP3"
"TSEN54",2.4304534496159e-112,0.43713783082903,0.262,0.05,5.59368861429099e-108,"9","TSEN54"
"EBP",1.20932639698798e-111,0.476605222336858,0.262,0.051,2.78326470266783e-107,"9","EBP"
"PDIA6",4.82778315246217e-111,0.545413433551061,0.385,0.097,1.11111429253917e-106,"9","PDIA6"
"SSR22",6.83237119679502e-111,0.519867211090438,0.684,0.229,1.57247023094237e-106,"9","SSR2"
"PNN",1.66962657421429e-109,0.556956596708897,0.493,0.144,3.84264556055418e-105,"9","PNN"
"PTGER2",1.87623270962098e-109,0.507314877191634,0.284,0.059,4.31814958119269e-105,"9","PTGER2"
"ATM3",2.35075875269517e-109,0.556597822925904,0.613,0.197,5.41027126932794e-105,"9","ATM"
"CCND32",4.99363902857631e-109,0.5885047264198,0.662,0.226,1.14928602242684e-104,"9","CCND3"
"PTPN22",1.29272917926647e-108,0.47366404927736,0.266,0.053,2.97521620608178e-104,"9","PTPN22"
"RNF7",3.16959380792544e-108,0.496269863836061,0.438,0.12,7.29482014894041e-104,"9","RNF7"
"ITGB22",3.36270311731355e-108,0.805703831921914,0.946,0.46,7.73926122449714e-104,"9","ITGB2"
"CX3CR1",3.76686334267841e-108,0.53047524079422,0.351,0.085,8.66943598317437e-104,"9","CX3CR1"
"SIGIRR",1.84311559927879e-107,0.505948925264686,0.493,0.143,4.24193055174013e-103,"9","SIGIRR"
"RBBP7",3.64707818974271e-107,0.453620256425028,0.275,0.057,8.39375045369285e-103,"9","RBBP7"
"SYTL1",3.70206451907084e-107,0.493366492025757,0.421,0.112,8.52030149064155e-103,"9","SYTL1"
"COX5A",1.08740748421944e-106,0.450803531634274,0.474,0.136,2.50266832493104e-102,"9","COX5A"
"SAP18",4.42197256480922e-106,0.480038976839313,0.624,0.203,1.01771698579084e-101,"9","SAP18"
"GIMAP71",6.26660421145747e-106,0.623495791394778,0.446,0.126,1.44225895926694e-101,"9","GIMAP7"
"PCSK74",1.67003743013548e-105,0.567169619269277,0.619,0.205,3.84359114545682e-101,"9","PCSK7"
"RSRP1",4.09127239052651e-105,0.552628506683986,0.599,0.197,9.41606340679676e-101,"9","RSRP1"
"LY6E2",1.58680265320083e-104,0.65214699010599,0.672,0.239,3.6520263063417e-100,"9","LY6E"
"CAPN2",6.89511471939677e-104,0.537903977268841,0.385,0.102,1.58691065266917e-99,"9","CAPN2"
"SNRPB",8.25783022343234e-104,0.495982045311764,0.516,0.157,1.90053962592295e-99,"9","SNRPB"
"COX6C4",1.08915594754365e-103,0.586324021670745,0.756,0.282,2.5066924132717e-99,"9","COX6C"
"NDUFC2",5.94805695853626e-103,0.459161312431386,0.491,0.146,1.36894530900712e-98,"9","NDUFC2"
"MACF1",3.87930411167612e-102,0.513623106570631,0.4,0.108,8.9282184130226e-98,"9","MACF1"
"ARPC22",4.40127319115162e-102,0.781741974273543,0.954,0.54,1.01295302494354e-97,"9","ARPC2"
"B2M3",4.60081831520746e-102,0.454722459137468,1,0.998,1.058878335245e-97,"9","B2M"
"TBC1D10C2",6.40242482653796e-102,0.451246638171125,0.579,0.184,1.47351807382771e-97,"9","TBC1D10C"
"TRAPPC1",6.85482632218996e-102,0.491002011228091,0.563,0.18,1.57763827805202e-97,"9","TRAPPC1"
"GPATCH8",9.53111353641159e-102,0.461469482177821,0.315,0.074,2.19358578040513e-97,"9","GPATCH8"
"CLIC12",1.57340470415321e-101,0.664048445377774,0.838,0.348,3.62119092660862e-97,"9","CLIC1"
"RASAL3",3.92536095298184e-101,0.491660968235871,0.354,0.089,9.0342182332877e-97,"9","RASAL3"
"CFL12",4.10257664623194e-101,0.753792662602914,0.996,0.678,9.44208015130282e-97,"9","CFL1"
"HMOX2",9.05410429746821e-101,0.461146858495693,0.259,0.054,2.08380210406231e-96,"9","HMOX2"
"MLLT6",1.5677217216228e-100,0.421535080501643,0.376,0.097,3.60811154231488e-96,"9","MLLT6"
"PPP2R5C2",1.73354944786577e-100,0.60495323735506,0.807,0.322,3.98976405426307e-96,"9","PPP2R5C"
"CALR2",2.91740039320549e-100,0.751666335770645,0.649,0.24,6.71439700496243e-96,"9","CALR"
"RPL36AL3",4.38160431494188e-99,0.619625224340925,0.865,0.361,1.00842623308387e-94,"9","RPL36AL"
"RASA3",6.74277701841885e-99,0.432316825245104,0.253,0.052,1.5518501307891e-94,"9","RASA3"
"MYO1G2",2.71493454848662e-98,0.55220820309016,0.604,0.207,6.24842186334196e-94,"9","MYO1G"
"RAB37",5.80050698784012e-98,0.453222780158793,0.26,0.055,1.3349866832514e-93,"9","RAB37"
"OSTF1",8.42505340044082e-98,0.519422960171251,0.497,0.155,1.93902604011145e-93,"9","OSTF1"
"TADA3",4.52290947808883e-97,0.48492985332344,0.279,0.063,1.04094761638214e-92,"9","TADA3"
"PSME11",4.85166072703834e-97,0.631716844123352,0.838,0.355,1.11660971632787e-92,"9","PSME1"
"ACTG11",9.54672874061357e-97,0.891289112840741,0.975,0.653,2.19717961965221e-92,"9","ACTG1"
"MT2A1",4.53022460517816e-96,0.602822832579667,0.513,0.167,1.04263119288175e-91,"9","MT2A"
"TXNL4A",6.30523681423301e-96,0.461951190889094,0.369,0.099,1.45115025279573e-91,"9","TXNL4A"
"ARHGEF12",9.96920934968563e-96,0.461859431904418,0.591,0.197,2.29441353183015e-91,"9","ARHGEF1"
"NDUFB8",1.67928850183881e-95,0.41703262433642,0.497,0.153,3.86488248698203e-91,"9","NDUFB8"
"P4HB",2.82866626982944e-95,0.464054674065316,0.471,0.143,6.51017542001246e-91,"9","P4HB"
"CUTA",3.84461394625444e-95,0.503657638927593,0.503,0.159,8.84837899730459e-91,"9","CUTA"
"LDHA",4.17441309546866e-95,0.520267354469913,0.568,0.193,9.60741173922111e-91,"9","LDHA"
"JAK12",4.6914021437869e-95,0.446580696711743,0.66,0.235,1.07972620339256e-90,"9","JAK1"
"ECH1",8.01746775895584e-95,0.439217948545129,0.346,0.089,1.84522020472369e-90,"9","ECH1"
