"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MSN.11",3.71156566742522e-07,-1.49314763626309,0.115,0.368,0.00854216838357915,"15","MSN"
"RPL37.14",3.83548952619835e-07,0.477204382150096,0.931,0.822,0.00882737914454549,"15","RPL37"
"YPEL5.3",4.17845469629722e-07,0.53336512198379,0.425,0.194,0.00961671348352804,"15","YPEL5"
"MGAT1.2",4.75649824877919e-07,0.492460681158114,0.31,0.122,0.0109470807195653,"15","MGAT1"
"DDX18",5.13514506807663e-07,0.462043348999678,0.264,0.097,0.0118185363741784,"15","DDX18"
"TTC3",5.27766754086848e-07,0.75163154870402,0.253,0.094,0.0121465518453088,"15","TTC3"
"CST7.15",6.15618484863004e-07,-2.42300174763169,0.034,0.266,0.014168459429122,"15","CST7"
"RPL23.9",6.22129076046375e-07,0.73863414818672,0.667,0.439,0.0143183006852073,"15","RPL23"
"EMP3.8",6.34805620338199e-07,-1.38153820749338,0.253,0.481,0.0146100513520836,"15","EMP3"
"NAGK",6.667199361074e-07,0.550385860848814,0.253,0.093,0.0153445593295118,"15","NAGK"
"PTBP3.1",7.57371970858847e-07,0.82937766724913,0.345,0.151,0.0174309159093164,"15","PTBP3"
"UBE2D2.2",8.12093399508153e-07,0.532700625564599,0.402,0.181,0.0186903295896801,"15","UBE2D2"
"NME2.8",8.19593580549519e-07,0.784687896421923,0.506,0.271,0.0188629462563472,"15","NME2"
"TBL1XR1",8.87111338496731e-07,0.700816619674721,0.253,0.095,0.0204168674555023,"15","TBL1XR1"
"NACA.10",9.57246211054278e-07,0.576107918033915,0.897,0.688,0.0220310215474142,"15","NACA"
"ITGB2.8",1.08220988726438e-06,-1.28465390293704,0.241,0.473,0.0249070605553897,"15","ITGB2"
"ZNF706.1",1.2440416178685e-06,0.615052391754054,0.299,0.123,0.0286316178352435,"15","ZNF706"
"SLC38A2.1",1.53055270807821e-06,0.709183861122037,0.471,0.243,0.03522567057642,"15","SLC38A2"
"IFI30.15",1.61223460451184e-06,-1.94135784383518,0.034,0.262,0.0371055794228401,"15","IFI30"
"CYBA.10",1.63657042598989e-06,0.584791421737102,0.874,0.702,0.0376656683541574,"15","CYBA"
"COMMD6.8",1.79181639771462e-06,0.86320258445391,0.54,0.324,0.0412386543934019,"15","COMMD6"
"NDUFV2",1.8270223354898e-06,0.515344857800978,0.276,0.11,0.0420489190512978,"15","NDUFV2"
"LGALS1.13",1.89474812256117e-06,-1.70192413061205,0.23,0.431,0.0436076280407453,"15","LGALS1"
"SERF2.10",1.94874639470443e-06,0.54505281418909,0.828,0.645,0.0448503982741225,"15","SERF2"
"FAAP20",2.2132416100466e-06,0.456278874557034,0.287,0.116,0.0509377556552225,"15","FAAP20"
"FGL2.15",2.27622398081065e-06,-1.59586867040432,0.034,0.263,0.0523872949183572,"15","FGL2"
"LUC7L3.1",2.34141995631461e-06,0.735803996834407,0.356,0.166,0.0538877802945808,"15","LUC7L3"
"HLA-DMB.4",2.75754533561928e-06,0.624614459941496,0.276,0.112,0.0634649058992778,"15","HLA-DMB"
"SOD2.13",2.77150052196755e-06,-2.45516744255008,0.092,0.317,0.0637860845130831,"15","SOD2"
"ZFP36L1.13",2.99833650840615e-06,-1.70599097587461,0.103,0.335,0.0690067147409675,"15","ZFP36L1"
"TXNL4A.1",3.23440194750958e-06,0.504212082142231,0.264,0.105,0.074439760821933,"15","TXNL4A"
"SERPINA1.14",3.78278384892347e-06,-1.87872024831086,0.069,0.29,0.0870607702829737,"15","SERPINA1"
"HLA-B.11",4.27053348271579e-06,-0.518062068015284,1,0.954,0.0982863281047039,"15","HLA-B"
"TSPO.14",4.34030557039851e-06,-1.45555028035125,0.092,0.317,0.0998921327027217,"15","TSPO"
"H2AFY.4",4.78800538467469e-06,0.618228539732741,0.414,0.207,0.110195943928288,"15","H2AFY"
"POLR2J3",5.08355935311417e-06,0.948531623486885,0.333,0.156,0.116998118511923,"15","POLR2J3"
"SRSF6.2",5.32937556270736e-06,0.61930241499296,0.333,0.151,0.12265557857571,"15","SRSF6"
"HNRNPC.6",5.87287573503762e-06,0.569962184738129,0.552,0.307,0.135164235041891,"15","HNRNPC"
"RPL13A.10",6.14417451746644e-06,0.545316232244831,0.874,0.678,0.14140817651949,"15","RPL13A"
"DNAJA1.1",6.909895212306e-06,0.665701618641519,0.322,0.146,0.159031238311223,"15","DNAJA1"
"NDUFA4.6",7.18680276793292e-06,0.736685151578418,0.483,0.271,0.165404265703976,"15","NDUFA4"
"RPN2.1",7.98300979571287e-06,0.926452984668732,0.253,0.107,0.183728970448332,"15","RPN2"
"EIF2S2",8.69556492709673e-06,0.471732715294853,0.31,0.137,0.200128426797131,"15","EIF2S2"
"HMGN1.5",9.59790354794958e-06,0.788467676479894,0.414,0.221,0.22089575015606,"15","HMGN1"
"PSMA6.1",1.04852932757597e-05,0.646760636699416,0.31,0.141,0.241319024741609,"15","PSMA6"
"ATP6AP1.1",1.0668410470943e-05,0.75352108115456,0.264,0.114,0.245533466988753,"15","ATP6AP1"
"SAMHD1.8",1.08040747637209e-05,0.534448819112848,0.46,0.239,0.248655780687037,"15","SAMHD1"
"FGR.12",1.11031724338135e-05,-1.41193976293765,0.046,0.251,0.255539513564217,"15","FGR"
"MEF2C.4",1.12900210073483e-05,0.63246616351401,0.264,0.113,0.259839833484121,"15","MEF2C"
"NAMPT.15",1.13407718417324e-05,-2.54491257862811,0.161,0.359,0.26100786393747,"15","NAMPT"
